combine_year,player_name,college,position,height_inches,weight_lbs,hand_size_inches,arm_length_inches,40_yard_dash,bench_press_reps,vertitcal_leap_inches,broad_jump_inches,3_cone_drill,20_yard_shuttle,60_yard_shuttle
2018,Josh Adams,Notre Dame,RB,74,213,9.25,33.75,,18,,,,,
2018,Ola Adeniyi,Toledo,DE,74,248,9.63,31.75,4.83,26,31.5,,7.21,4.28,12.79
2018,Jordan Akins,Central Florida,TE,75,249,9.5,32.5,,,,,,,
2018,Jaire Alexander,Louisville,CB,71,192,,,4.38,14,35,127,6.71,3.98,
2018,Austin Allen,Arkansas,QB,72,210,9.63,30.63,4.81,,29.5,112,7.18,4.48,
2018,Brian Allen,Michigan State,C,73,298,9.25,32.38,5.34,27,26.5,99,7.81,4.71,
2018,Josh Allen,Wyoming,QB,77,237,10.13,33.25,4.75,,33.5,119,6.9,4.4,
2018,Marcus Allen,Penn State,FS,74,202,,,,15,37,127,,4.32,
2018,Mark Andrews,Oklahoma,TE,77,256,10.5,33.5,4.67,17,31,113,7.34,4.38,12.39
2018,Troy Apke,Penn State,SS,74,198,,,4.34,16,41,131,6.56,4.03,
2018,Dorance Armstrong,Kansas,DE,76,257,10,34.75,4.87,20,30,118,7.12,4.23,11.82
2018,Ade Aruna,Tulane (LA),DE,78,262,10.63,34,4.6,18,38.5,128,7.53,4.48,
2018,Marcell Ateman,Oklahoma State,WR,76,216,9.88,32.88,4.62,13,34,121,7.07,4.25,11.94
2018,John Atkins,Georgia,DT,76,321,9.25,34,5.38,,24,89,7.95,4.75,
2018,Anthony Averett,Alabama,CB,72,185,,,4.36,13,31.5,119,6.93,4.4,
2018,Genard Avery,Memphis,ILB,73,248,10.13,31,4.59,26,36,124,6.9,4.36,
2018,Mike Badgley,Miami (FL),K,70,183,8.75,29,4.94,,,111,,,
2018,Jerome Baker,Ohio State,OLB,73,229,10.38,31.5,4.53,22,36.5,126,,,
2018,Kalen Ballage,Arizona State,RB,73,228,9.5,32.75,4.46,15,33.5,122,6.91,4.35,
2018,Saquon Barkley,Penn State,RB,72,233,9.5,31.38,4.4,29,41,,,4.24,
2018,J.T. Barrett,Ohio State,QB,73,224,9.88,32,4.7,,30,108,7.38,4.44,
2018,Jessie Bates,Wake Forest,FS,74,195,,,4.5,,35.5,117,6.78,4.26,11.34
2018,Marcus Baugh,Ohio State,TE,75,247,9.5,33,4.81,,33,117,7.28,4.51,12.06
2018,Nick Bawden,San Diego State,FB,74,245,9.25,30.5,,,,,,,
2018,Davin Bellamy,Georgia,OLB,77,255,9.5,33.25,,15,,,,,
2018,Kurt Benkert,Virginia,QB,75,218,9.5,31,4.95,16,31,112,7.15,4.33,
2018,Braxton Berrios,Miami (FL),WR,69,184,9.25,28,,11,,,,,
2018,Keishawn Bierria,Washington,ILB,74,230,9.38,31.13,4.79,21,30.5,117,7.26,,
2018,Quin Blanding,Virginia,FS,74,215,,,4.63,,31.5,122,,,
2018,David Bright,Stanford,OT,77,307,10.25,33.25,,,,,,,
2018,Andrew Brown,Virginia,DE,76,296,9.38,34.5,5.03,31,28,101,7.51,4.48,
2018,Drew Brown,Nebraska,K,70,208,8.38,29,,,,,,,
2018,Orlando Brown,Oklahoma,OT,80,345,9.75,35,5.85,14,19.5,82,7.87,5.38,
2018,Tony Brown,Alabama,CB,72,198,,,4.35,14,31.5,126,6.78,4.11,11.14
2018,Taven Bryan,Florida,DT,76,291,9.75,32.75,4.98,30,35,119,7.12,4.48,
2018,Oren Burks,Vanderbilt,OLB,75,233,9.13,33.38,4.59,18,39.5,131,6.82,4.15,
2018,Deontay Burnett,Southern California,WR,72,186,8.63,31.5,,,,,,,
2018,Jason Cabinda,Penn State,ILB,73,239,9.63,32,,19,,,,,
2018,Deon Cain,Clemson,WR,74,202,8.75,33,4.43,11,33.5,115,6.71,4.37,11.78
2018,Antonio Callaway,Florida,WR,71,200,9.5,31.5,4.41,,34,121,,,
2018,Chris Campbell,Penn State,CB,73,194,,,,14,,,,,
2018,Dylan Cantrell,Texas Tech,WR,75,226,9.25,31.38,4.59,18,38.5,130,6.56,4.03,10.85
2018,Alex Cappa,Humboldt State (CA),OT,78,305,9.25,32.63,5.39,24,26.5,97,8.04,4.84,
2018,Tanner Carew,Oregon,LS,73,243,9.63,31.5,5,18,30,111,7.26,4.28,
2018,Daniel Carlson,Auburn,K,77,213,9.75,32,,,,,,,
2018,Darren Carrington,Utah,WR,74,199,10.38,32.75,,,36,120,,,
2018,Lorenzo Carter,Georgia,OLB,78,250,10.38,34,4.5,,36,130,,,
2018,Andre Chachere,San Jose State,CB,72,200,,,4.49,13,38,123,6.78,4.07,11.43
2018,Sean Chandler,Temple,FS,72,190,,,4.65,16,34.5,119,,4.62,
2018,D.J. Chark,Louisiana State,WR,75,199,9.25,32.38,4.34,16,40,129,,,
2018,Geron Christian,Louisville,OT,77,298,10.75,35,5.33,19,,,,,
2018,Bradley Chubb,North Carolina State,DE,76,269,9.88,34,4.65,24,36,121,7.37,4.41,
2018,Nick Chubb,Georgia,RB,71,227,9.63,32,4.52,29,38.5,128,7.09,4.25,
2018,Jack Cichy,Wisconsin,ILB,74,238,9.5,32.13,,18,,,,,
2018,Will Clapp,Louisiana State,C,76,311,9.63,31.25,5.39,25,29,97,8.04,4.92,
2018,Simmie Cobbs,Indiana,WR,75,220,9.25,32,4.64,11,30,113,6.7,4.32,11.2
2018,Mason Cole,Michigan,C,76,307,9.63,32.13,5.23,23,23.5,104,7.77,4.78,
2018,Lavon Coleman,Washington,RB,71,215,9.25,30.5,4.65,23,33,120,,,
2018,Tyler Conklin,Central Michigan,TE,75,254,9.75,33.25,4.8,18,38,120,7.13,4.23,11.43
2018,Austin Corbett,Nevada,OG,76,306,10.5,33.13,5.15,19,28,106,7.87,4.5,
2018,Keke Coutee,Texas Tech,WR,70,181,8.38,29.88,4.43,14,34.5,113,6.93,4.15,
2018,Chris Covington,Indiana,OLB,74,245,9.25,32.5,4.78,23,,,,,
2018,Justin Crawford,West Virginia,RB,71,199,9.13,32,4.64,11,33.5,122,,,
2018,Tyrell Crosby,Oregon,OT,77,309,10.75,35.25,5.23,17,30,105,7.89,4.77,
2018,Dane Cruikshank,Arizona,SS,73,206,,,4.41,25,38.5,121,6.89,4.24,
2018,Trevor Daniel,Tennessee,P,73,230,9.38,31.5,4.98,23,32.5,119,,,
2018,James Daniels,Iowa,C,75,306,9.5,33.75,,21,30.5,108,7.29,4.4,
2018,Sam Darnold,Southern California,QB,75,221,9.38,31,4.85,,26.5,105,6.96,4.4,
2018,Marcus Davenport,Texas-San Antonio,DE,78,264,9.13,33.63,4.58,22,33.5,124,7.2,4.41,
2018,Joseph Davidson,Bowling Green (OH),P,79,232,8.5,32.25,,,,,,,
2018,Carlton Davis,Auburn,CB,73,203,,,4.53,16,34,124,,,
2018,Duke Dawson,Florida,CB,70,208,,,4.46,15,,,,,
